,Unnamed: 0,amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol
0,,333195.231,0.5699999999999994,7.89,7.91,7.37,7.37,7.7869,7.32,20200402,600812.SH,433446.93
1,,86530.084,0.040000000000000036,7.32,7.47,7.18,7.26,0.5495,7.28,20200401,600812.SH,118391.89
2,,79563.748,0.020000000000000462,7.28,7.34,7.22,7.29,0.2755,7.26,20200331,600812.SH,109322.0
3,,104586.548,-0.16999999999999993,7.26,7.5,7.2,7.42,-2.288,7.43,20200330,600812.SH,143095.6
0,0.0,153448.479,-0.1900000000000004,7.43,7.71,7.41,7.67,-2.4934,7.62,20200327,600812.SH,203270.9
1,1.0,241005.884,0.23000000000000045,7.62,7.68,7.27,7.35,3.1123,7.39,20200326,600812.SH,320769.59
2,2.0,193060.63100000002,0.17999999999999972,7.39,7.47,7.2,7.35,2.4965,7.21,20200325,600812.SH,262417.82
3,3.0,144101.975,-0.07000000000000027,7.21,7.37,7.01,7.35,-0.9615,7.28,20200324,600812.SH,201861.7
4,4.0,259758.158,0.08000000000000007,7.28,7.45,7.0,7.05,1.1111,7.2,20200323,600812.SH,356009.01
5,5.0,190215.552,0.21999999999999972,7.2,7.28,7.01,7.08,3.1519,6.98,20200320,600812.SH,266555.86
6,6.0,220398.94199999998,-0.1299999999999999,6.98,7.1,6.76,6.99,-1.8284,7.11,20200319,600812.SH,318568.95
7,7.0,224083.879,-0.2399999999999993,7.11,7.5,7.1,7.44,-3.2653,7.35,20200318,600812.SH,307667.28
8,8.0,296082.928,-0.54,7.35,8.08,7.1,7.9,-6.8441,7.89,20200317,600812.SH,400368.22
9,9.0,275878.707,-0.3099999999999996,7.89,8.63,7.88,8.37,-3.7805,8.2,20200316,600812.SH,333889.61
10,10.0,244543.91,-0.45000000000000107,8.2,8.35,7.95,8.1,-5.2023,8.65,20200313,600812.SH,301241.59
11,11.0,282613.94399999996,-0.3899999999999988,8.65,9.06,8.51,8.89,-4.3142,9.04,20200312,600812.SH,323647.72
12,12.0,217383.81,-0.16000000000000014,9.04,9.35,9.01,9.2,-1.7391,9.2,20200311,600812.SH,237962.31
13,13.0,356094.787,-0.2700000000000013,9.2,9.32,8.81,9.11,-2.8511,9.47,20200310,600812.SH,391685.63
14,14.0,495244.70700000005,-0.05999999999999873,9.47,9.79,9.3,9.51,-0.6296,9.53,20200309,600812.SH,519083.76
15,15.0,595287.575,0.2599999999999998,9.53,9.76,9.19,9.19,2.8047,9.27,20200306,600812.SH,625683.46
16,16.0,361921.16299999994,0.3099999999999987,9.27,9.28,8.96,8.96,3.4598,8.96,20200305,600812.SH,397573.39
17,17.0,267288.42100000003,-0.11999999999999922,8.96,9.07,8.81,9.07,-1.3216,9.08,20200304,600812.SH,298810.97
18,18.0,422553.82700000005,0.05000000000000071,9.08,9.3,8.96,9.13,0.5537,9.03,20200303,600812.SH,463574.68
19,19.0,558370.855,-0.16000000000000014,9.03,9.19,8.51,9.0,-1.7409999999999999,9.19,20200302,600812.SH,629738.81
20,20.0,704072.507,-0.2700000000000013,9.19,9.88,9.15,9.31,-2.8541,9.46,20200228,600812.SH,735755.6
21,21.0,412767.902,-0.06999999999999851,9.46,9.72,9.41,9.52,-0.7345,9.53,20200227,600812.SH,433051.36
22,22.0,765724.2579999999,0.41000000000000014,9.53,9.69,9.0,9.12,4.4956,9.12,20200226,600812.SH,813847.26
23,23.0,344805.047,-0.05000000000000071,9.12,9.33,8.9,9.01,-0.5453,9.17,20200225,600812.SH,377120.51
24,24.0,363127.716,-0.16999999999999993,9.17,9.38,9.12,9.38,-1.8201,9.34,20200224,600812.SH,394491.68
25,25.0,583478.471,0.3699999999999992,9.34,9.39,8.85,8.88,4.1249,8.97,20200221,600812.SH,635372.47
26,26.0,290307.67,-0.08000000000000007,8.97,9.12,8.83,9.02,-0.884,9.05,20200220,600812.SH,324527.74
27,27.0,382146.88,-0.3300000000000001,9.05,9.38,9.0,9.38,-3.5181,9.38,20200219,600812.SH,419765.84
28,28.0,524374.156,0.3200000000000003,9.38,9.53,9.18,9.32,3.532,9.06,20200218,600812.SH,559677.73
29,29.0,371376.96,0.14000000000000054,9.06,9.15,8.88,8.93,1.5695,8.92,20200217,600812.SH,410957.97
30,30.0,330697.377,0.17999999999999972,8.92,9.07,8.83,8.92,2.0595,8.74,20200214,600812.SH,369772.7
31,31.0,313126.939,-0.2400000000000002,8.74,9.02,8.7,9.02,-2.6726,8.98,20200213,600812.SH,355668.61
32,32.0,301346.144,-0.029999999999999364,8.98,9.15,8.83,8.94,-0.33299999999999996,9.01,20200212,600812.SH,335665.97
33,33.0,376279.094,-0.040000000000000924,9.01,9.07,8.65,9.05,-0.442,9.05,20200211,600812.SH,423688.9
34,34.0,613959.2760000001,-0.6499999999999986,9.05,9.5,8.8,9.5,-6.7010000000000005,9.7,20200210,600812.SH,676035.65
35,35.0,1022897.8640000001,-0.4800000000000004,9.7,10.62,9.5,10.04,-4.7151,10.18,20200207,600812.SH,1021704.45
36,36.0,1392941.3730000001,0.16999999999999993,10.18,10.65,9.75,9.87,1.6983,10.01,20200206,600812.SH,1350935.82
37,37.0,1101722.347,0.6099999999999994,10.01,10.27,9.23,9.56,6.4894,9.4,20200205,600812.SH,1148846.44
38,38.0,763713.223,-0.2999999999999989,9.4,9.71,9.0,9.6,-3.0928,9.7,20200204,600812.SH,814207.04
39,39.0,1206368.258,0.4799999999999986,9.7,9.95,8.3,9.68,5.2061,9.22,20200203,600812.SH,1259480.27
40,40.0,540978.43,-0.16000000000000014,9.22,9.72,9.01,9.65,-1.7058,9.38,20200123,600812.SH,577927.01
41,41.0,984128.4709999999,-1.0199999999999996,9.38,10.73,9.36,10.65,-9.8077,10.4,20200122,600812.SH,1014586.17
42,42.0,1299811.886,0.7400000000000002,10.4,10.6,9.7,9.83,7.6605,9.66,20200121,600812.SH,1279505.74
