,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,603032.SH,20200327,17.28,17.55,17.18,17.19,17.1,0.08999999999999986,0.5263,21293.43,36928.249
1,603032.SH,20200326,17.16,17.38,17.0,17.1,17.22,-0.11999999999999744,-0.6969,15825.61,27191.148
2,603032.SH,20200325,17.25,17.34,17.03,17.22,16.82,0.3999999999999986,2.3781,19573.0,33606.193
3,603032.SH,20200324,16.9,17.07,16.33,16.82,16.61,0.21000000000000085,1.2643,16227.85,27180.416
4,603032.SH,20200323,16.75,17.13,16.58,16.61,17.28,-0.6700000000000017,-3.8773,19541.22,32849.867
5,603032.SH,20200320,17.15,17.46,17.02,17.28,16.97,0.3100000000000023,1.8268,19729.02,33915.674
6,603032.SH,20200319,17.22,17.46,16.66,16.97,17.22,-0.25,-1.4518,23994.57,40728.528
7,603032.SH,20200318,18.13,18.13,17.2,17.22,17.76,-0.5400000000000027,-3.0405,27439.51,48539.944
8,603032.SH,20200317,18.44,18.76,16.8,17.76,18.39,-0.629999999999999,-3.4258,29969.82,52905.772
9,603032.SH,20200316,19.15,19.4,18.36,18.39,19.02,-0.629999999999999,-3.3123,20780.6,39204.857
10,603032.SH,20200313,18.28,19.2,18.18,19.02,19.39,-0.370000000000001,-1.9082,24463.0,45806.014
11,603032.SH,20200312,19.69,19.77,19.25,19.39,20.09,-0.6999999999999993,-3.4843,29935.0,58412.559
12,603032.SH,20200311,19.51,20.34,19.3,20.09,19.36,0.7300000000000004,3.7707,52173.38,104123.001
13,603032.SH,20200310,18.71,19.6,18.43,19.36,19.33,0.030000000000001137,0.1552,32981.99,62589.071
14,603032.SH,20200309,19.7,19.91,19.31,19.33,20.04,-0.7100000000000009,-3.5429,28510.93,55877.082
15,603032.SH,20200306,20.25,20.3,19.88,20.04,20.35,-0.3100000000000023,-1.5233,29529.03,59333.015
16,603032.SH,20200305,20.3,20.49,20.12,20.35,20.15,0.20000000000000284,0.9926,36072.86,73312.78
17,603032.SH,20200304,20.0,20.53,19.98,20.15,20.45,-0.3000000000000007,-1.467,39288.09,79224.716
18,603032.SH,20200303,21.27,21.27,20.14,20.45,20.53,-0.08000000000000185,-0.3897,89565.89,183820.529
19,603032.SH,20200302,18.81,20.53,18.81,20.53,18.66,1.870000000000001,10.0214,78783.28,159599.46
20,603032.SH,20200228,19.5,19.95,18.53,18.66,20.27,-1.6099999999999994,-7.9428,39753.06,76064.835
21,603032.SH,20200227,20.59,21.17,20.17,20.27,20.59,-0.3200000000000003,-1.5542,47145.63,97250.131
22,603032.SH,20200226,19.8,21.06,19.65,20.59,20.1,0.48999999999999844,2.4378,68645.66,142247.692
23,603032.SH,20200225,20.15,20.39,19.77,20.1,20.85,-0.75,-3.5971,43464.46,87671.738
24,603032.SH,20200224,20.5,21.38,20.15,20.85,20.52,0.33000000000000185,1.6082,52539.96,108260.819
25,603032.SH,20200221,20.5,21.02,20.18,20.52,20.31,0.21000000000000085,1.034,43195.65,88675.551
26,603032.SH,20200220,19.7,20.44,19.7,20.31,20.27,0.03999999999999915,0.1973,44161.55,88723.531
27,603032.SH,20200219,20.34,20.6,20.21,20.27,20.37,-0.10000000000000142,-0.4909,31603.84,64402.426
28,603032.SH,20200218,20.13,20.49,20.06,20.37,20.13,0.240000000000002,1.1923,30220.48,61242.086
29,603032.SH,20200217,20.03,20.31,19.96,20.13,19.78,0.34999999999999787,1.7695,28799.02,57997.291
30,603032.SH,20200214,19.7,20.5,19.5,19.78,19.71,0.07000000000000028,0.3551,28439.51,56543.28
31,603032.SH,20200213,19.9,20.25,19.66,19.71,20.01,-0.3000000000000007,-1.4993,25516.02,50613.613
32,603032.SH,20200212,19.52,20.92,19.42,20.01,19.53,0.4800000000000004,2.4578,43260.1,86814.119
33,603032.SH,20200211,19.5,19.9,19.31,19.53,19.54,-0.00999999999999801,-0.0512,24726.74,48435.616
34,603032.SH,20200210,19.3,20.1,18.83,19.54,19.6,-0.060000000000002274,-0.3061,38673.43,75246.136
35,603032.SH,20200207,19.0,20.6,18.5,19.6,19.1,0.5,2.6178,73535.06,144879.529
36,603032.SH,20200206,17.37,19.1,17.1,19.1,17.36,1.740000000000002,10.023,50064.57,88961.283
37,603032.SH,20200205,17.37,17.84,17.18,17.36,17.14,0.21999999999999886,1.2835,38169.0,66632.311
38,603032.SH,20200204,17.12,17.94,17.12,17.14,19.02,-1.879999999999999,-9.8843,55481.04,95859.298
39,603032.SH,20200203,19.02,19.02,19.02,19.02,21.13,-2.1099999999999994,-9.9858,4073.0,7746.846
40,603032.SH,20200123,22.16,22.2,21.09,21.13,22.19,-1.0600000000000023,-4.7769,28096.0,60700.744
41,603032.SH,20200122,22.0,22.35,21.87,22.19,22.22,-0.029999999999997584,-0.135,15655.2,34621.78
42,603032.SH,20200121,22.48,22.74,22.14,22.22,22.57,-0.3500000000000014,-1.5507,14318.83,31895.646
43,603032.SH,20200120,22.01,22.69,22.01,22.57,22.35,0.21999999999999886,0.9843,13525.51,30383.873
44,603032.SH,20200117,22.64,22.83,22.22,22.35,22.64,-0.28999999999999915,-1.2809,19577.91,43999.124
45,603032.SH,20200116,23.15,23.15,22.62,22.64,23.13,-0.48999999999999844,-2.1185,26055.64,59391.63
46,603032.SH,20200115,23.0,23.3,22.62,23.13,22.99,0.14000000000000057,0.609,29256.71,67348.246
47,603032.SH,20200114,23.25,23.41,22.88,22.99,23.29,-0.3000000000000007,-1.2881,35438.52,81713.201
48,603032.SH,20200113,23.15,23.94,23.0,23.29,23.16,0.129999999999999,0.5613,48684.34,114367.336
49,603032.SH,20200110,22.75,23.51,22.5,23.16,22.5,0.6600000000000001,2.9333,55273.78,127369.528
50,603032.SH,20200109,22.42,22.69,22.42,22.5,22.35,0.14999999999999858,0.6711,20826.26,46900.163
51,603032.SH,20200108,22.66,22.79,22.16,22.35,22.85,-0.5,-2.1882,29713.11,66935.062
52,603032.SH,20200107,22.48,22.9,22.45,22.85,22.48,0.370000000000001,1.6459,40580.68,92027.455
53,603032.SH,20200106,22.2,22.59,21.85,22.48,22.39,0.08999999999999986,0.402,32749.39,73115.15
54,603032.SH,20200103,22.5,22.65,22.34,22.39,22.51,-0.120000000000001,-0.5331,27168.62,60995.797
55,603032.SH,20200102,22.2,22.66,22.15,22.51,22.2,0.3100000000000023,1.3964,28550.0,64095.632
56,603032.SH,20191231,22.0,22.39,21.91,22.2,22.14,0.05999999999999872,0.271,16623.24,36864.342
57,603032.SH,20191230,22.27,22.27,21.85,22.14,22.36,-0.21999999999999886,-0.9839,22678.28,50009.037
58,603032.SH,20191227,22.54,22.84,22.27,22.36,22.54,-0.17999999999999972,-0.7986,25763.82,57949.858
59,603032.SH,20191226,22.38,22.62,22.23,22.54,22.42,0.11999999999999744,0.5352,16758.1,37601.312
60,603032.SH,20191225,22.58,22.85,22.35,22.42,22.67,-0.25,-1.1028,21889.44,49243.884
61,603032.SH,20191224,22.61,22.77,22.5,22.67,22.43,0.240000000000002,1.07,15304.19,34611.203
62,603032.SH,20191223,23.0,23.23,22.35,22.43,23.29,-0.8599999999999994,-3.6926,29644.07,67546.191
63,603032.SH,20191220,24.0,24.19,23.28,23.29,24.0,-0.7100000000000009,-2.9583,41080.15,97303.78
64,603032.SH,20191219,23.56,24.58,23.26,24.0,23.58,0.4200000000000017,1.7812,64355.06,153348.804
65,603032.SH,20191218,23.2,23.95,23.15,23.58,23.41,0.16999999999999815,0.7262,47033.89,111334.542
66,603032.SH,20191217,23.05,23.63,23.01,23.41,23.1,0.3099999999999987,1.342,44014.48,103039.741
67,603032.SH,20191216,22.78,23.48,22.78,23.1,22.8,0.3000000000000007,1.3158,27653.97,63824.222
68,603032.SH,20191213,22.51,22.88,22.51,22.8,22.48,0.3200000000000003,1.4235,27351.96,62236.516
69,603032.SH,20191212,22.61,22.69,22.38,22.48,22.8,-0.3200000000000003,-1.4035,22321.4,50269.662
